x,y,z
-1.000000000000000000e+01,-1.000000000000000000e+01,2.620733538446134991e-02
-1.000000000000000000e+01,-9.487179487179487225e+00,6.785263324583604150e-02
-1.000000000000000000e+01,-8.974358974358974450e+00,7.715428296380510975e-02
-1.000000000000000000e+01,-8.461538461538461675e+00,4.312367834867576744e-02
-1.000000000000000000e+01,-7.948717948717948900e+00,-2.412637597714070020e-02
-1.000000000000000000e+01,-7.435897435897436125e+00,-1.011939096732885762e-01
-1.000000000000000000e+01,-6.923076923076923350e+00,-1.632842069963595100e-01
-1.000000000000000000e+01,-6.410256410256410575e+00,-1.938146590830384097e-01
-1.000000000000000000e+01,-5.897435897435897800e+00,-1.882890249754993750e-01
-1.000000000000000000e+01,-5.384615384615385025e+00,-1.526118116272056624e-01
-1.000000000000000000e+01,-4.871794871794872250e+00,-9.831503298444138617e-02
-1.000000000000000000e+01,-4.358974358974359475e+00,-3.755146158286438995e-02
-1.000000000000000000e+01,-3.846153846153846700e+00,2.027397500619579351e-02
-1.000000000000000000e+01,-3.333333333333333925e+00,6.972807591845922581e-02
-1.000000000000000000e+01,-2.820512820512821150e+00,1.089197866606464449e-01
-1.000000000000000000e+01,-2.307692307692308376e+00,1.382801881296775171e-01
-1.000000000000000000e+01,-1.794871794871795601e+00,1.592930023599040124e-01
-1.000000000000000000e+01,-1.282051282051282826e+00,1.735805436303343996e-01
-1.000000000000000000e+01,-7.692307692307700506e-01,1.824317376007594804e-01
-1.000000000000000000e+01,-2.564102564102572757e-01,1.866662408387908534e-01
-1.000000000000000000e+01,2.564102564102554993e-01,1.866662408387908811e-01
-1.000000000000000000e+01,7.692307692307682743e-01,1.824317376007594804e-01
-1.000000000000000000e+01,1.282051282051281049e+00,1.735805436303344551e-01
-1.000000000000000000e+01,1.794871794871793824e+00,1.592930023599040679e-01
-1.000000000000000000e+01,2.307692307692306599e+00,1.382801881296775726e-01
-1.000000000000000000e+01,2.820512820512819374e+00,1.089197866606465281e-01
-1.000000000000000000e+01,3.333333333333332149e+00,6.972807591845930908e-02
-1.000000000000000000e+01,3.846153846153844924e+00,2.027397500619616821e-02
-1.000000000000000000e+01,4.358974358974357699e+00,-3.755146158286431363e-02
-1.000000000000000000e+01,4.871794871794870474e+00,-9.831503298444099759e-02
-1.000000000000000000e+01,5.384615384615383249e+00,-1.526118116272053848e-01
-1.000000000000000000e+01,5.897435897435896024e+00,-1.882890249754992085e-01
-1.000000000000000000e+01,6.410256410256408799e+00,-1.938146590830385207e-01
-1.000000000000000000e+01,6.923076923076919797e+00,-1.632842069963598153e-01
-1.000000000000000000e+01,7.435897435897434349e+00,-1.011939096732889648e-01
-1.000000000000000000e+01,7.948717948717948900e+00,-2.412637597714070020e-02
-1.000000000000000000e+01,8.461538461538459899e+00,4.312367834867569111e-02
-1.000000000000000000e+01,8.974358974358970897e+00,7.715428296380505424e-02
-1.000000000000000000e+01,9.487179487179485449e+00,6.785263324583595823e-02
-1.000000000000000000e+01,1.000000000000000000e+01,2.620733538446134991e-02
-9.487179487179487225e+00,-1.000000000000000000e+01,9.321361431703992229e-02
-9.487179487179487225e+00,-9.487179487179487225e+00,1.022708901604258147e-01
-9.487179487179487225e+00,-8.974358974358974450e+00,6.105606271267970120e-02
-9.487179487179487225e+00,-8.461538461538461675e+00,-1.751336592373412340e-02
-9.487179487179487225e+00,-7.948717948717948900e+00,-1.042363453246716865e-01
-9.487179487179487225e+00,-7.435897435897436125e+00,-1.692615930828128834e-01
-9.487179487179487225e+00,-6.923076923076923350e+00,-1.946145340500863297e-01
-9.487179487179487225e+00,-6.410256410256410575e+00,-1.786051181978343394e-01
-9.487179487179487225e+00,-5.897435897435897800e+00,-1.324263758964245308e-01
-9.487179487179487225e+00,-5.384615384615385025e+00,-7.275270232954170191e-02
-9.487179487179487225e+00,-4.871794871794872250e+00,-1.466729471840187704e-02
-9.487179487179487225e+00,-4.358974358974359475e+00,3.241131659297378370e-02
-9.487179487179487225e+00,-3.846153846153846700e+00,6.536726289300626158e-02
-9.487179487179487225e+00,-3.333333333333333925e+00,8.569933481120113605e-02
-9.487179487179487225e+00,-2.820512820512821150e+00,9.706108574463587213e-02
-9.487179487179487225e+00,-2.307692307692308376e+00,1.032065829707435323e-01
-9.487179487179487225e+00,-1.794871794871795601e+00,1.068504391491756911e-01
-9.487179487179487225e+00,-1.282051282051282826e+00,1.094003222990964919e-01
-9.487179487179487225e+00,-7.692307692307700506e-01,1.112473405778197227e-01
-9.487179487179487225e+00,-2.564102564102572757e-01,1.122661392123359969e-01
-9.487179487179487225e+00,2.564102564102554993e-01,1.122661392123359969e-01
-9.487179487179487225e+00,7.692307692307682743e-01,1.112473405778197644e-01
-9.487179487179487225e+00,1.282051282051281049e+00,1.094003222990965474e-01
-9.487179487179487225e+00,1.794871794871793824e+00,1.068504391491757743e-01
-9.487179487179487225e+00,2.307692307692306599e+00,1.032065829707436155e-01
-9.487179487179487225e+00,2.820512820512819374e+00,9.706108574463574723e-02
-9.487179487179487225e+00,3.333333333333332149e+00,8.569933481120121932e-02
-9.487179487179487225e+00,3.846153846153844924e+00,6.536726289300634485e-02
-9.487179487179487225e+00,4.358974358974357699e+00,3.241131659297401268e-02
-9.487179487179487225e+00,4.871794871794870474e+00,-1.466729471840154397e-02
-9.487179487179487225e+00,5.384615384615383249e+00,-7.275270232954132721e-02
-9.487179487179487225e+00,5.897435897435896024e+00,-1.324263758964245308e-01
-9.487179487179487225e+00,6.410256410256408799e+00,-1.786051181978343394e-01
-9.487179487179487225e+00,6.923076923076919797e+00,-1.946145340500863852e-01
-9.487179487179487225e+00,7.435897435897434349e+00,-1.692615930828129112e-01
-9.487179487179487225e+00,7.948717948717948900e+00,-1.042363453246716865e-01
-9.487179487179487225e+00,8.461538461538459899e+00,-1.751336592373455014e-02
-9.487179487179487225e+00,8.974358974358970897e+00,6.105606271267934038e-02
-9.487179487179487225e+00,9.487179487179485449e+00,1.022708901604257731e-01
-9.487179487179487225e+00,1.000000000000000000e+01,9.321361431703992229e-02
-8.974358974358974450e+00,-1.000000000000000000e+01,1.262179718534907347e-01
-8.974358974358974450e+00,-9.487179487179487225e+00,8.641704378388358199e-02
-8.974358974358974450e+00,-8.974358974358974450e+00,3.029365030648475954e-03
-8.974358974358974450e+00,-8.461538461538461675e+00,-8.990427274412116088e-02
-8.974358974358974450e+00,-7.948717948717948900e+00,-1.571032530556870921e-01
-8.974358974358974450e+00,-7.435897435897436125e+00,-1.785553190720443328e-01
-8.974358974358974450e+00,-6.923076923076923350e+00,-1.552211350156444403e-01
-8.974358974358974450e+00,-6.410256410256410575e+00,-1.038828179646208716e-01
-8.974358974358974450e+00,-5.897435897435897800e+00,-4.651619365823476959e-02
-8.974358974358974450e+00,-5.384615384615385025e+00,-5.887513309670716621e-04
-8.974358974358974450e+00,-4.871794871794872250e+00,2.580572938174413578e-02
